,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
11,z,3,0.3488447368144989,0.3070552200078964,12688,12861,165.0,11,0.006255979,0.00021697098,0.009040457,47
0,z,4,0.390191912651062,0.3488447368144989,13564,13430,-165.0,0,0.006086349,0.0001590622,-0.006627592,48
1,z,4,0.390191912651062,0.3488447368144989,7370,7130,-135.0,1,0.00830252,0.0005303623,-0.02209843,49
2,z,4,0.390191912651062,0.3488447368144989,9293,9133,-105.0,2,0.0073663997,0.00027823923,-0.011593301,50
3,z,4,0.390191912651062,0.3488447368144989,6557,6168,-75.0,3,0.008857458,0.000979538,-0.04081408,51
4,z,4,0.390191912651062,0.3488447368144989,4565,4468,-45.0,4,0.010520572,0.0003440877,-0.014336987,52
5,z,4,0.390191912651062,0.3488447368144989,1980,1955,-15.0,5,0.01594087,0.00020357511,-0.008482296,53
6,z,4,0.390191912651062,0.3488447368144989,1959,2003,15.0,6,0.015885286,0.00035585053,0.014827105,54
7,z,4,0.390191912651062,0.3488447368144989,4567,4766,45.0,7,0.010346973,0.00068322103,0.028467543,55
8,z,4,0.390191912651062,0.3488447368144989,6198,6417,75.0,8,0.008901018,0.0005562708,0.02317795,56
9,z,4,0.390191912651062,0.3488447368144989,9242,9457,105.0,9,0.007312058,0.00036842533,0.015351055,57
10,z,4,0.390191912651062,0.3488447368144989,7152,7245,135.0,10,0.008333892,0.00020698571,0.008624405,58
11,z,4,0.390191912651062,0.3488447368144989,13056,13266,165.0,11,0.006163337,0.0002556406,0.010651692,59
0,z,5,0.43275055289268494,0.390191912651062,13912,13669,-165.0,0,0.0060209488,0.00028230963,-0.011762901,60
1,z,5,0.43275055289268494,0.390191912651062,7377,7116,-135.0,1,0.008304152,0.0005770476,-0.02404365,61
2,z,5,0.43275055289268494,0.390191912651062,9338,8999,-105.0,2,0.0073825014,0.00059238065,-0.024682526,62
3,z,5,0.43275055289268494,0.390191912651062,6798,6454,-75.0,3,0.00868157,0.00083177607,-0.034657337,63
4,z,5,0.43275055289268494,0.390191912651062,4319,4094,-45.0,4,0.010895509,0.00085696095,-0.035706706,64
5,z,5,0.43275055289268494,0.390191912651062,1721,1674,-15.0,5,0.017159551,0.0004435959,-0.018483162,65
6,z,5,0.43275055289268494,0.390191912651062,1641,1666,15.0,6,0.017388446,0.00024223408,0.010093086,66
7,z,5,0.43275055289268494,0.390191912651062,4305,4525,45.0,7,0.010636022,0.0007983465,0.033264436,67
8,z,5,0.43275055289268494,0.390191912651062,6435,6687,75.0,8,0.008726843,0.0006153609,0.025640039,68
9,z,5,0.43275055289268494,0.390191912651062,9123,9440,105.0,9,0.007337752,0.00054719293,0.022799706,69
10,z,5,0.43275055289268494,0.390191912651062,7193,7221,135.0,10,0.008329257,6.224478e-05,0.0025935324,70
11,z,5,0.43275055289268494,0.390191912651062,13397,13834,165.0,11,0.006058547,0.000514218,0.02142575,71
0,z,6,0.4916067272424698,0.43275055289268494,14154,14313,-165.0,0,0.0059267567,0.00017897191,0.0074571627,72
1,z,6,0.4916067272424698,0.43275055289268494,7586,7456,-135.0,1,0.008153016,0.00027692821,-0.011538675,73
2,z,6,0.4916067272424698,0.43275055289268494,8677,8335,-105.0,2,0.007664182,0.0006441695,-0.026840396,74
3,z,6,0.4916067272424698,0.43275055289268494,7223,6885,-75.0,3,0.008414824,0.00076768076,-0.0319867,75
4,z,6,0.4916067272424698,0.43275055289268494,4081,3799,-45.0,4,0.011252282,0.0011467066,-0.047779445,76
5,z,6,0.4916067272424698,0.43275055289268494,1482,1436,-15.0,5,0.018508071,0.0005051286,-0.021047024,77
6,z,6,0.4916067272424698,0.43275055289268494,1410,1396,15.0,6,0.01887759,0.00015987104,-0.006661293,78
7,z,6,0.4916067272424698,0.43275055289268494,3847,4032,45.0,7,0.011260325,0.0007523676,0.03134865,79
8,z,6,0.4916067272424698,0.43275055289268494,7008,7255,75.0,8,0.008371022,0.00055490097,0.023120875,80
9,z,6,0.4916067272424698,0.43275055289268494,8399,8789,105.0,9,0.007624089,0.0007270574,0.030294057,81
10,z,6,0.4916067272424698,0.43275055289268494,7331,7512,135.0,10,0.008206947,0.00039073857,0.016280774,82
11,z,6,0.4916067272424698,0.43275055289268494,14315,14272,165.0,11,0.005914456,4.8198035e-05,-0.0020082514,83
0,z,7,0.7940981388092041,0.4916067272424698,14573,14473,-165.0,0,0.0058674887,0.00011031717,-0.0045965486,84
1,z,7,0.7940981388092041,0.4916067272424698,8366,8137,-135.0,1,0.007782946,0.00044463333,-0.018526388,85
